date,hour,Incident,Line,Direction,Cause,Delay,delay_collapsed
2012-05-02,17, An inbound Red Line train at Metro Center was taken out of service due to a brake problem. Customers experienced a 6-minute delay.,Red,,a brake problem,6,6
2012-05-02,18, An inbound Blue Line train at Arlington Cemetery was expressed for schedule adherence/improved train spacing.,Blue,,expressed for schedule adherence/improved train spacing,,
2012-05-02,20, An inbound Red Line train at Wheaton was delayed 5 minutes due to police activity.,Red,,police activity,5,5
2012-05-03,6, An outbound Orange Line train at West Falls Church was delayed due to a door problem. Customers experienced a 9-minute delay.,Orange,,a door problem,9,9
2012-05-03,9, An inbound Red Line train at Gallery Place was delayed due to a door problem. Customers experienced a 4-minute delay.,Red,,a door problem,4,4
2012-05-03,11, An inbound Yellow Line train at King Street was delayed was delayed moving through the single-track construction area. Customers experienced a 4-minute delay.,Yellow,,,4,36
2012-05-03,12, An inbound Blue Line train at Franconia-Springfield did not operate because of track equipment being moved into position. Customers experienced a 16-minute gap in service.,Blue,,did not operate,16,20
2012-05-03,13, An inbound Blue Line train at Franconia-Springfield was did not operate to allow track equipment to move into position. Customers experienced a 16-minute gap in service.,Blue,,did not operate,16,16
2012-05-03,14," An outbound Yellow Line train at U Street-Cardozo was taken out of service due to a person struck by the train. Green & Yellow Line trains ran were single-tracked, bypassing the station, until approximately 3:45 p.m.",Yellow,,a person struck by the train,,6
2012-05-03,15," An inbound Blue Line train at Smithsonian was delayed after pepper spray was sprayed in a car. Passengers were moved to other cars and the incident car was taken out of service, resulting in a 5 minute delay to the train.",Blue,,,,29
2012-05-03,16, An inbound Orange Line train at Court House was expressed for schedule adherence/improved train spacing.,Orange,,expressed for schedule adherence/improved train spacing,,14
2012-05-03,17, An inbound Blue Line train at Morgan Blvd was expressed for schedule adherence/improved train spacing.,Blue,,expressed for schedule adherence/improved train spacing,,6
2012-05-03,18, An inbound Yellow Line train at Huntington was delayed 6 minutes due to late equipment.,Yellow,,late equipment,6,35
2012-05-04,5, A New Carrollton-bound Orange Line train at Stadium-Armory was taken out of service due to a brake problem. Customers experienced a 13-minute delay.,Orange,New Carrollton,a brake problem,13,13
2012-05-04,7, A Greenbelt-bound Green Line train at L’Enfant Plaza was delayed 9 minutes due to a sick customer. An inbound Yellow Line train was delayed 9 minutes behind the Green Line train.,Green,Greenbelt,a sick customer,9,9
2012-05-04,8, A Mt Vernon Sq-bound Yellow Line train at Huntington did not operate resulting in a 6 minute gap in service.,Yellow,Mt Vernon Sq,did not operate,,7
2012-05-04,13, A Branch Ave-bound Green Line train at Greenbelt was delayed 9 minutes due to a switch problem.,Green,Branch Ave,a switch problem,9,21
2012-05-04,14, A Grosvenor-bound Red Line train between Rhode Island Avenue and New York Avenue was delayed 9 minutes due to a signal problem.,Red,Grosvenor,a signal problem,9,9
2012-05-04,15, A Silver Spring-bound Red Line train at Cleveland Park was taken out of service due to a brake problem. Customers experienced a 7-minute delay.,Red,Silver Spring,a brake problem,7,14
2012-05-04,16, A New Carrollton-bound Orange Line train at Federal Center was delayed 6 minutes due to a door problem.,Orange,New Carrollton,a door problem,6,16
2012-05-04,17, A Largo-bound Blue Line train at Franconia-Springfield did not operate resulting in a 6-minute gap in service.,Blue,Largo,did not operate,6,6
2012-05-04,19, A New Carrollton-bound Orange Line train at Stadium-Armory was delayed 4 minutes due to residual delays.,Orange,New Carrollton,residual delays,4,4
2012-05-04,20, A Shady Grove-bound Red Line train was offloaded at Metro Center due to a door problem. Customers experienced a 14-minute delay.,Red,Shady Grove,a door problem,14,14
2012-05-05,2, An outbound Red Line train at Dupont Circle was offloaded.  Customers experienced a 16-minute delay.,Red,,,16,16
2012-05-05,7, An inbound Green Line train at Branch Avenue was delayed 5 minutes due to a door problem.,Green,,a door problem,5,5
2012-05-05,10, An inbound Red Line train at Grosvenor was delayed 7 minutes due to a door problem.,Red,,a door problem,7,7
2012-05-05,12, An outbound Orange Line train at Rosslyn was offloaded due to a door problem. Customers experienced a 20-minute delay.,Orange,,a door problem,20,20
2012-05-05,13," An inbound Yellow Line train at Gallery Place was delayed when an unauthorized person entered the track area, causing power to be de-energized. Customers experienced a 7-minute delay.",Yellow,,,7,13
2012-05-05,14, An inbound Red Line train at Cleveland Park was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Red,,a brake problem,7,7
2012-05-05,19,  An inbound Blue Line train at Addison Road was delayed 5 minutes due to police activity.,Blue,,police activity,5,5
2012-05-06,1, An outbound Green Line train at Columbia Heights was delayed 4 minutes due to police activity.,Green,,police activity,4,4
2012-05-06,2, An outbound Red Line train at Medical Center was delayed 4 minutes due to a track problem.,Red,,a track problem,4,4
2012-05-06,8, An outbound Blue Line train at Foggy Bottom was delayed 9 minutes due to a door problem.,Blue,,a door problem,9,9
2012-05-06,9, An inbound Orange Line train at Farragut West was offloaded due to a door problem. Customers experienced a 20-minute delay.,Orange,,a door problem,20,20
2012-05-06,11, An inbound Red Line train at Fort Totten was delayed 4 minutes due to an equipment problem.,Red,,an equipment problem,4,4
2012-05-06,12, An inbound Green Line train at Fort Totten did not operate due to a brake problem causing a 12-minute gap in service.,Green,,a brake problem causing a 12-minute gap in service,12,12
2012-05-07,5, A Greenbelt-bound Green Line train at Navy Yard was delayed 16 minutes due to a signal problem.,Green,Greenbelt,a signal problem,16,20
2012-05-07,7, A Glenmont-bound Red Line train at Dupont Circle was offloaded due to a brake problem. Customers experienced a 10-minute delay.,Red,Glenmont,a brake problem,10,35
2012-05-07,8, A New Carrollton-bound Orange Line train at West Falls Church was delayed 7 minutes due to a signal problem.,Orange,New Carrollton,a signal problem,7,20
2012-05-07,10, A Largo Town Center-bound Blue Line train at Braddock Road was offloaded due to a door problem. Customers experienced a 16-minute delay.,Blue,Largo Town Center,a door problem,16,16
2012-05-07,11, A Glenmont-bound Red Line train at White Flint was delayed 4 minutes due to a reported unattended item.,Red,Glenmont,a reported unattended item,4,4
2012-05-07,14, A Franconia-Springfield-bound Blue Line train at Eastern Market was offloaded due to a door problem. Customers experienced an 8-minute delay.,Blue,Franconia-Springfield,a door problem,8,8
2012-05-07,15, A Vienna-bound Orange Line train at Dunn Loring was expressed for schedule adherence/improved train spacing.,Orange,Vienna,expressed for schedule adherence/improved train spacing,,18
2012-05-07,16, A Vienna-bound Orange Line train at McPherson Square was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Orange,Vienna,a brake problem,9,9
2012-05-07,17, A Shady Grove-bound Red Line Train at Friendship Heights was delayed 9 minutes due to a sick customer.,Red,Shady Grove,a sick customer,9,18
2012-05-07,18, A Vienna-bound Orange Line train at Foggy Bottom was offloaded due to a door problem. Customers experienced a 12-minute delay.,Orange,Vienna,a door problem,12,12
2012-05-07,19, A New Carrollton-bound Orange Line train at Dunn Loring was delayed 11 minutes due to a reported fire on the track.,Orange,New Carrollton,a reported fire on the track,11,11
2012-05-08,6, A Glenmont-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Customers experienced a 13-minute delay.,Red,Glenmont,a brake problem,13,19
2012-05-08,7, A New Carrollton-bound Orange Line train at Potomac Ave was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Orange,New Carrollton,a brake problem,7,13
2012-05-08,8, A Franconia-Springfield-bound Blue Line train at Landover was delayed 5 minutes due to a door problem.,Blue,Franconia-Springfield,a door problem,5,16
2012-05-08,9, A Grosvenor-bound Red Line train at Takoma was offloaded due to an equipment problem. Customers experienced a 10-minute delay.,Red,Grosvenor,an equipment problem,10,10
2012-05-08,11, A Vienna-bound Orange Line train at Stadium-Armory was delayed 16 minutes while track equipment was moved into position. A gap train was placed in service at Foggy Bottom to help mitigate the delay.,Orange,Vienna,,16,16
2012-05-08,12, A Shady Grove-bound Red Line Train at Brookland was delayed 10 minutes while track equipment was moved into position.,Red,Shady Grove,,10,10
2012-05-08,14, A Glenmont-bound Red Line train at Shady Grove was delayed 7 minutes due to track maintenance.,Red,Glenmont,track maintenance,7,16
2012-05-08,15, A Glenmont-bound Red Line train at New York Avenue was offloaded due to a door problem. Customers experienced a 4-minute delay.,Red,Glenmont,a door problem,4,17
2012-05-08,16," A Mt. Vernon Sq-bound Yellow Line train at Franconia-Springfield did not operate, resulting in a 6-minute gap in service.",Yellow,Mt. Vernon Sq,did not operate,6,19
2012-05-08,18,  A Shady Grove-bound Red Line Train at Woodley Park was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Red,Shady Grove,a brake problem,9,15
2012-05-08,19, A New Carrollton-bound Orange Line train at Federal Center was delayed 6 minutes due to a track problem.,Orange,New Carrollton,a track problem,6,6
2012-05-09,5, A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 5 minutes due to a track problem.,Blue,Largo Town Center,a track problem,5,15
2012-05-09,6, A Franconia-Springfield-bound Blue Line train at Van Dorn Street was delayed 13 minutes due to a track problem.,Blue,Franconia-Springfield,a track problem,13,24
2012-05-09,7, A Largo Town Center-bound Blue Line train at Capitol Heights was expressed for schedule adherence/improved train spacing.,Blue,Largo Town Center,expressed for schedule adherence/improved train spacing,,43
2012-05-09,15," A Largo Town Center-bound Blue Line train at Franconia-Springfield did not operate, resulting in a 6-minute gap in service.",Blue,Largo Town Center,did not operate,6,20
2012-05-09,16," A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 4-minute gap in service.",Green,Greenbelt,did not operate,4,24
2012-05-09,17, A Glenmont-bound Red Line train at Friendship Heights was offloaded due to a door problem. Customers experienced a 7-minute delay.,Red,Glenmont,a door problem,7,7
2012-05-09,18, A Glenmont-bound Red Line train at Shady Grove was delayed 13 minutes due to a switch problem. Serveral other Red Line trains experienced minor delays at Shady Grove.,Red,Glenmont,a switch problem,13,29
2012-05-10,6, A Huntington-bound Yellow Line train at L’Enfant Plaza was offloaded due to a door problem. Customers experienced a 7-minute delay.,Yellow,Huntington,a door problem,7,13
2012-05-10,9, A Vienna/Fairfax-bound Orange Line train at Foggy Bottom was delayed 7 minutes due to a brake problem. A gap train was placed into service at Ballston to help mitigate the delay.,Orange,Vienna/Fairfax,a brake problem,7,7
2012-05-10,12, A Branch Avenue-bound Green Line train at L’Enfant Plaza was delayed 26 minutes due to a switch problem.,Green,Branch Avenue,a switch problem,26,26
2012-05-10,13, A Shady Grove-bound Red Line train at Union Station was delayed 8 minutes due to a door problem.,Red,Shady Grove,a door problem,8,8
2012-05-10,14, A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 7 minutes due to track maintenance.,Blue,Largo Town Center,track maintenance,7,7
2012-05-10,15, A Largo Town Center-bound Blue Line train at Arlington Cemetery was expressed for schedule adherence/improved train spacing.,Blue,Largo Town Center,expressed for schedule adherence/improved train spacing,,6
2012-05-10,16, A Silver Spring-bound Red Line train at Judiciary Square was delayed 5 minutes due to a sick customer.,Red,Silver Spring,a sick customer,5,20
2012-05-10,17, A New Carrollton-bound Orange Line train at Minnesota Avenue was taken out of service due to a brake problem. Customers experienced a 6-minute delay.,Orange,New Carrollton,a brake problem,6,6
2012-05-10,18, A Branch Avenue-bound Green Line train at West Hyattsville was offloaded due to a brake problem. Customers experienced an 11-minute delay.,Green,Branch Avenue,a brake problem,11,15
2012-05-10,19, A Fort Totten-bound Yellow Line train at Huntington was delayed 5 minutes due to an earlier disabled train.,Yellow,Fort Totten,an earlier disabled train,5,5
2012-05-11,7, A Glenmont-bound Red Line train at Shady Grove was delayed 5 minutes due to a door problem.,Red,Glenmont,a door problem,5,17
2012-05-11,8, A Shady Grove-bound Red Line train at Gallery Place was delayed 6 minutes due to a door problem.,Red,Shady Grove,a door problem,6,6
2012-05-11,13, A Branch Avenue-bound Green Line train at Naylor Road was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Green,Branch Avenue,a brake problem,12,12
2012-05-11,15, A Shady Grove-bound Red Line train at Rhode Island Ave was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Red,Shady Grove,a brake problem,7,7
2012-05-11,16, A Branch Avenue-bound Green Line train at College Park was offloaded due to a brake problem. Customers experienced a 31-minute delay. Several other Green Line trains were single tracked around the disabled train.,Green,Branch Avenue,a brake problem,31,31
2012-05-11,18, A Fort Totten-bound Yellow Line train at Huntington was delayed 7 minutes due to an earlier delay.,Yellow,Fort Totten,an earlier delay,7,7
2012-05-11,20, A Glenmont-bound Red Line train at Cleveland Park was delayed 10 minutes due to a door problem.,Red,Glenmont,a door problem,10,10
2012-05-11,21, A Franconia-Springfield-bound Blue Line train at Crystal City was offloaded due to an operational problem. Customers experienced a 19-minute delay.,Blue,Franconia-Springfield,an operational problem,19,19
2012-05-11,22, A Fort Totten-bound Yellow Line train at National Airport was delayed 8 minutes due to a track problem.,Yellow,Fort Totten,a track problem,8,38
2012-05-12,0, A Largo Town Center-bound Blue Line train at National Airport was delayed 7 minutes due to police activity.,Blue,Largo Town Center,police activity,7,7
2012-05-12,10, A New Carrollton-bound Orange Line train at Virginia Square was delayed 5 minutes due to a door problem.,Orange,New Carrollton,a door problem,5,5
2012-05-12,13, A New Carrollton-bound Orange Line train at Federal Center SW was delayed 8 minutes due to a door problem.,Orange,New Carrollton,a door problem,8,8
2012-05-12,17, A Franconia-Springfield-bound Blue Line train at Potomac Avenue was delayed 7 minutes due to a door problem.,Blue,Franconia-Springfield,a door problem,7,7
2012-05-13,9, A Greenbelt-bound Green Line train at Prince Georges Plaza was delayed 7 minutes due to a door problem.,Green,Greenbelt,a door problem,7,7
2012-05-13,17, A Vienna-bound Orange Line train at Federal Center was offloaded due to an equipment problem. Customers experienced a 30-minute delay. A gap train was put in service to help mitigate the delay.,Orange,Vienna,an equipment problem,30,30
2012-05-13,23, A Greenbelt-bound Green Line train at Suitland was delayed 8 minutes due to an unauthorized person on the tracks.,Green,Greenbelt,an unauthorized person on the tracks,8,8
2012-05-14,6, A Greenbelt-bound Green Line train at Fort Totten was offloaded due to an equipment problem. Customers experienced an 8-minute delay. A Branch Avenue-bound Green Line train was delayed 5 minutes behind the Green Line train.,Green,Greenbelt-bound Green Line train at Fort Totten was offloaded due to an equipment problem. Customers experienced an 8-minute delay. A Branch Avenue,an equipment problem,5,5
2012-05-14,7," A Franconia-Springfield-bound Blue Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service.",Blue,Franconia-Springfield,did not operate,6,23
2012-05-14,8, A Glenmont-bound Red Line train at Woodley Park Zoo was offloaded due to an equipment problem. Customers experienced a 9-minute delay.,Red,Glenmont,an equipment problem,9,29
2012-05-14,9," A Largo Town Center-bound Blue Line train at Franconia-Springfield did not operate, resulting in a 7-minute gap in service.",Blue,Largo Town Center,did not operate,7,48
2012-05-14,11, A Vienna-bound Orange Line train at Eastern Market was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Orange,Vienna,a brake problem,12,12
2012-05-14,13, A Franconia-Springfield-bound Blue Line train at Rosslyn was delayed 8 minutes due to an operational problem.,Blue,Franconia-Springfield,an operational problem,8,8
2012-05-14,15, A Glenmont-bound Red Line train at Rhode Island Avenue was offloaded due to a door problem. Customers experienced a 6-minute delay.,Red,Glenmont,a door problem,6,6
2012-05-14,16, A Franconia-Springfield-bound Blue Line train at Van Dorn Street was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Blue,Franconia-Springfield,a brake problem,12,18
2012-05-14,17, A Shady Grove-bound Red Line train at Dupont Circle was delayed 5 minutes due to an operational problem.,Red,Shady Grove,an operational problem,5,5
2012-05-14,18, A Largo Town Center-bound Blue Line train at Morgan Boulevard was expressed for schedule adherence/improved train spacing.,Blue,Largo Town Center,expressed for schedule adherence/improved train spacing,,
2012-05-15,5," A 3rd rail problem was reported near Medical Center.  Red Line trains were single tracked between Grosvenor and Medical Center until approximately 8:00 a.m.  Between 6:45 a.m. and 8:00 a.m., trains experienced delays of 10-20 minutes. Residual delays were cleared by 8:30 a.m.",Red,,m,,
2012-05-15,8, A Branch Avenue-bound Green Line train at Southern Avenue was expressed for schedule adherence/improved train spacing.,Green,Branch Avenue,expressed for schedule adherence/improved train spacing,,14
2012-05-15,10, A Glenmont-bound Red Line train at Dupont Circle was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Red,Glenmont,a brake problem,6,6
2012-05-15,12, A Branch Avenue-bound Green Line train at Gallery Place was delayed 7 minutes due to a door problem.,Green,Branch Avenue,a door problem,7,7
2012-05-15,15, A New Carrollton-bound Orange Line train at McPherson Square was delayed 5 minutes due to a door problem.,Orange,New Carrollton,a door problem,5,12
2012-05-15,16, A Vienna-bound Orange Line train at Metro Center was delayed 7 minutes due to an operational problem.,Orange,Vienna,an operational problem,7,12
2012-05-15,17, A Huntington-bound Yellow Line train at Mt. Vernon Square was delayed 4 minutes due to residual delays from baseball crowds.,Yellow,Huntington,residual delays from baseball crowds,4,20
2012-05-15,18," A Shady Grove-bound Red Line train at Glenmont did not operate, resulting in a 6-minute gap in service.",Red,Shady Grove,did not operate,6,13
2012-05-16,6," A Largo Town Center-bound Blue Line train at King Street did not operate, resulting in a 6-minute gap in service.",Blue,Largo Town Center,did not operate,6,18
2012-05-16,8, A Largo Town Center-bound Blue Line train at Capitol Heights was expressed for schedule adherence/improved train spacing.,Blue,Largo Town Center,expressed for schedule adherence/improved train spacing,,
2012-05-16,10, A Shady Grove-bound Red Line train at Dupont Circle was offloaded due to an equipment problem. Customers experienced a 6-minute delay.,Red,Shady Grove,an equipment problem,6,6
2012-05-16,13," A track fastener problem was reported near Smithsonian.  Blue and Orange Line trains were single tracked between McPherson Square and Federal Center SW until approximately 2:30 p.m.  Between 1:00 and   2:45p.m., trains experienced delays of 10-25 minutes.",Orange,,m,,
2012-05-16,15," A Mt. Vernon Sq-bound Yellow Line train at King Street did not operate, resulting in a 6-minute gap in service.",Yellow,Mt. Vernon Sq,did not operate,6,29
2012-05-16,16," A Mt. Vernon Sq-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.",Yellow,Mt. Vernon Sq,did not operate,6,24
2012-05-16,17, A Greenbelt-bound Green Line train at West Hyattsville was expressed for schedule adherence/improved train spacing.,Green,Greenbelt,expressed for schedule adherence/improved train spacing,,14
2012-05-16,18, A Mt. Vernon Sq-bound Yellow Line train at National Airport was delayed 4 minutes due to an operational problem.,Yellow,Mt. Vernon Sq,an operational problem,4,19
2012-05-16,19, A Huntington-bound Yellow Line train at Shaw-Howard was delayed 22 minutes due to a switch problem. Another Huntington-bound Yellow Line train and a Branch Avenue-bound Green Line train were also delayed as a result.,Yellow,Huntington-bound Yellow Line train at Shaw-Howard was delayed 22 minutes due to a switch problem. Another Huntington-bound Yellow Line train and a Branch Avenue,a switch problem,22,22
2012-05-16,20, A Franconia-Springfield-bound Blue Line train at Addison Road was offloaded due to a door problem. Customers experienced a 12-minute delay.,Blue,Franconia-Springfield,a door problem,12,36
2012-05-16,21, A Shady Grove-bound Red Line train at Glenmont was delayed 7 minutes due to an operational problem.,Red,Shady Grove,an operational problem,7,11
2012-05-17,5, A Franconia-Springfield-bound Blue Line train at Largo Town Center was delayed 6 minutes due to a signal problem.,Blue,Franconia-Springfield,a signal problem,6,14
2012-05-17,6," A Branch Ave-bound Green Line at Greenbelt train did not operate, resulting in a 6-minute gap in service.",Green,Branch Ave,did not operate,6,6
2012-05-17,8, A Largo Town Center-bound Blue Line train at Foggy Bottom-GWU was delayed 8 minutes due to a door problem.,Blue,Largo Town Center,a door problem,8,8
2012-05-17,12, A Glenmont-bound Red Line train at Takoma was delayed due to single-tracking around a track problem. Customers experienced a 10 minute delay.,Red,Glenmont,single-tracking around a track problem,,
2012-05-17,16, A Greenbelt-bound Green Line train at Southern Avenue was delayed 4 minutes due to a door problem.,Green,Greenbelt,a door problem,4,20
2012-05-17,17, A Silver Spring-bound Red Line train at Tenleytown-AU was offloaded due to an equipment problem. Customers experienced a 12-minute delay.,Red,Silver Spring,an equipment problem,12,36
2012-05-17,18, A Greenbelt-bound Green Line train at West Hyattsville was delayed 16 minutes due to a sick customer.,Green,Greenbelt,a sick customer,16,16
2012-05-17,19, A Shady Grove-bound Red Line train at Metro Center was offloaded due to a brake problem. Single-tracking occurred around the train and customers aboard the disabled train experienced a 31-minute delay.,Red,Shady Grove,a brake problem,31,46
2012-05-18,5, A New Carrollton-bound Orange Line train at Rosslyn was delayed 8 minutes due to a water main break that delayed the station opening.,Orange,New Carrollton,a water main break that delayed the station opening,8,16
2012-05-18,6," A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service.",Orange,New Carrollton,did not operate,6,12
2012-05-18,7, A Branch Avenue-bound Green Line train at Greenbelt was offloaded due to a brake problem. Customers experienced a 4-minute delay.,Green,Branch Avenue,a brake problem,4,4
2012-05-18,8, A Greenbelt-bound Green Line train at West   Hyattsville was expressed for schedule adherence/improved train spacing.,Green,Greenbelt,expressed for schedule adherence/improved train spacing,,6
2012-05-18,9, A New Carrollton-bound Orange Line train at Courthouse was offloaded and used for a track inspection due to reported smoke. Customers experienced a 5-minute delay.,Orange,New Carrollton,reported smoke,5,5
2012-05-18,13, A Franconia-Springfield-bound Blue Line train at Rosslyn was delayed 4 minutes due to a door problem.,Blue,Franconia-Springfield,a door problem,4,4
2012-05-18,14, A Vienna-bound Orange Line train at Smithsonian was delayed 5 minutes due to a disabled train.,Orange,Vienna,a disabled train,5,5
2012-05-18,15, A Glenmont-bound Red Line train at Gallery Place was delayed 6 minutes due to a report of smoke.,Red,Glenmont,a report of smoke,6,6
2012-05-18,16, A Greenbelt-bound Green Line train at Branch Avenue was delayed 6 minutes due to a door problem.,Green,Greenbelt,a door problem,6,12
2012-05-18,18," A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.",Orange,Vienna,did not operate,6,6
2012-05-18,20, A Shady Grove-bound Red Line train at Twinbrook was expressed for schedule adherence/improved train spacing.,Red,Shady Grove,expressed for schedule adherence/improved train spacing,,12
2012-05-18,23, A Branch Avenue-bound Green Line train at   Southern Avenue was delayed 3 minutes due to an operational problem.,Green,Branch Avenue,an operational problem,3,8
2012-05-19,2, A Shady Grove-bound Red Line train at Silver Spring was delayed 5 minutes due to a door problem.,Red,Shady Grove,a door problem,5,5
2012-05-19,7, A Branch Avenue-bound Green Line train at Greenbelt was delayed 6 minutes due to an operational problem.,Green,Branch Avenue,an operational problem,6,19
2012-05-19,8," A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 9-minute gap in service.",Green,Branch Avenue,did not operate,9,9
2012-05-19,10, A Franconia-Springfield-bound Blue Line train at Eastern Market was offloaded due to a brake problem. Customers experienced a 15-minute delay.,Blue,Franconia-Springfield,a brake problem,15,15
2012-05-19,11, A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 6 minutes due to an operational problem.,Blue,Largo Town Center,an operational problem,6,6
2012-05-19,14, Local fire department responded to a report of smoke at Wheaton Station.  Trains were single tracked between Wheaton and Takoma until approximately 3:00 p.m.  The station was closed for approximately 18 minutes.  Several trains were delayed as a result.,,,,,
2012-05-19,15, A Largo Town Center-bound Blue Line train at King Street was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Blue,Largo Town Center,a brake problem,12,12
2012-05-19,16, A Franconia-Springfield-bound Blue Line train at Stadium Armory was delayed 4 minutes due to a signal problem.,Blue,Franconia-Springfield,a signal problem,4,4
2012-05-19,17, A Glenmont-bound Red Line train at Union Station was offloaded due to a brake problem. Customers experienced a 4-minute delay.,Red,Glenmont,a brake problem,4,18
2012-05-19,20, A Franconia-Springfield-bound Blue Line train at Smithsonian was delayed 8 minutes due to an equipment problem.,Blue,Franconia-Springfield,an equipment problem,8,24
2012-05-20,1, A Branch Avenue-bound Green Line train at Prince George’s Plaza was offloaded due to a door problem. Customers experienced a 9-minute delay.,Green,Branch Avenue,a door problem,9,9
2012-05-20,7, A Vienna-bound Orange Line train at Eastern Market was delayed 5 minutes due to a signal problem.,Orange,Vienna,a signal problem,5,14
2012-05-21,5, A Glenmont-bound Red Line train at Friendship Heights was delayed 6 minutes due to a signal problem.,Red,Glenmont,a signal problem,6,6
2012-05-21,7," A Largo Town Center-bound Blue Line train at Franconia-Springfield did not operate, resulting in a 6-minute gap in service.",Blue,Largo Town Center,did not operate,6,27
